EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyFG2A,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,OffCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG3M,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted3s,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,HeaveAttempts,Travels,OffensiveGoaltends,BlockedArc3,Corner3PctBlocked,Transition Take Fouls,team_id,year,season,team_vs
1628381-1629012-1631117-1641729-203903,1610612762,"John Collins, Collin Sexton, Walker Kessler, Brice Sensabaugh, Jordan Clarkson","Collins, Sexton, Kessler, Sensabaugh, Clarkson",1628381-1629012-1631117-1641729-203903,UTA,30.0,1,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,1.0,0.5,1.0,,,1.0,,,0.5,,,48.0,,,26.0,,19.0,,,,,,,,,,1.0,,,,1.0,0.56235,,,,,,26.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1631117-201988-203903,1610612762,"John Collins, Collin Sexton, Walker Kessler, Patty Mills, Jordan Clarkson","Collins, Sexton, Kessler, Mills, Clarkson",1628381-1629012-1631117-201988-203903,UTA,68.0,1,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,4.0,2.0,,,,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,,,4.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,0.5,,,,,,,1.0,,,84.70588235294117,,10.5,23.5,10.5,23.5,1.0,1.0,1.0,,,,,,,,,,,1.0,0.6141,,0.5,0.5,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1641718-1641729-1642262,1610612762,"John Collins, Collin Sexton, Keyonte George, Brice Sensabaugh, Cody Williams","Collins, Sexton, George, Sensabaugh, Williams",1628381-1629012-1641718-1641729-1642262,UTA,214.0,2,4.0,-2.0,7.0,7.0,,14.0,1.0,1.0,,,1.0,3.0,,,2.0,4.0,,,4.0,6.0,,,,,4.0,,,1.0,,,,,,,,2.0,1.0,3.0,,3.0,,1.0,1.0,,3.0,2.0,2.0,1.0,5.0,1.0,2.0,,1.0,,,,,,2.0,2.0,2.0,1.0,,4.0,,,0.5,,0.5,,0.5,,,0.25,,0.6,0.5,,1.0,,0.75,,,,,0.5,,,1.0,,94.2056074766355,0.5,14.0,16.571428571428573,14.0,15.857142857142858,0.25,1.0,1.0,,0.75,0.3333333333333333,0.5,,,,,,,0.25,0.471975,,,,,8.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1641718-1641729-1642271,1610612762,"John Collins, Collin Sexton, Keyonte George, Brice Sensabaugh, Kyle Filipowski","Collins, Sexton, George, Sensabaugh, Filipowski",1628381-1629012-1641718-1641729-1642271,UTA,318.0,2,5.0,-3.0,10.0,9.0,3.0,19.0,1.0,2.0,,,,2.0,1.0,6.0,1.0,4.0,7.0,,11.0,14.0,,,3.0,,2.0,,6.0,1.0,,2.0,,,6.0,2.0,1.0,1.0,2.0,3.0,3.0,6.0,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,8.0,,,0.25,,0.5,0.5,0.5,0.5,0.6363636363636364,0.25,,,1.0,0.3333333333333333,1.0,0.5,1.0,0.42857142857142855,,0.5,0.5,,1.0,1.0,,,86.0377358490566,1.0,14.5,19.22222222222222,12.6,19.22222222222222,0.18181818181818182,0.5,0.5,,0.18181818181818182,,,,0.09090909090909091,0.5454545454545454,,,,0.8181818181818182,0.5381681818181818,0.54,,,0.2727272727272727,5.55,25.228571428571428,,,,,,,,,,,,,,2.0,,,3.0,,,,6.0,2.0,2.0,1.0,,,,,,,0.6666666666666666,0.42857142857142855,,0.42857142857142855,,,,,0.3333333333333333,0.3333333333333333,0.5,,,,0.3333333333333333,,,,1.0,3.0,1.0,3.0,0.3333333333333333,,,,1.0,0.3333333333333333,,1.0,,,,,3.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,0.5,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1641718-1642262-1642271,1610612762,"John Collins, Collin Sexton, Keyonte George, Cody Williams, Kyle Filipowski","Collins, Sexton, George, Williams, Filipowski",1628381-1629012-1641718-1642262-1642271,UTA,235.0,2,4.0,3.0,7.0,7.0,1.0,14.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,5.0,3.0,,11.0,8.0,1.0,1.0,2.0,6.0,2.0,,1.0,,3.0,4.0,2.0,1.0,9.0,1.0,,2.0,1.0,3.0,1.0,4.0,,,,,,,,,,1.0,2.0,,,,,,,,1.0,1.0,2.0,,,9.0,0.75,0.75,0.8,1.0,0.6875,0.5,0.6875,0.5,0.375,,,,0.5,,0.6666666666666666,0.5,0.6,0.3333333333333333,,,,,1.0,0.6666666666666666,,,85.7872340425532,,14.571428571428571,19.0,13.142857142857142,18.857142857142858,0.25,1.0,1.0,1.0,0.375,0.6666666666666666,0.6666666666666666,0.5,0.25,0.125,0.5,1.0,1.0,0.625,0.5450625,0.57255,,,0.18181818181818182,6.0200000000000005,23.400000000000002,,,,,,,,0.5,,,,,,1.0,,,1.0,,,,3.0,1.0,1.0,1.0,,,,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,1610612762,2025,2024-25,True
1628381-1629012-1641718-1642262-203903,1610612762,"John Collins, Collin Sexton, Keyonte George, Cody Williams, Jordan Clarkson","Collins, Sexton, George, Williams, Clarkson",1628381-1629012-1641718-1642262-203903,UTA,69.0,1,1.0,2.0,3.0,3.0,,6.0,2.0,2.0,,,,,,,2.0,3.0,,,4.0,2.0,,,,2.0,2.0,,,,1.0,1.0,1.0,,2.0,,,,1.0,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,4.0,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,1.0,,,,1.0,,,,,,1.0,,,,125.21739130434784,1.0,9.333333333333334,13.666666666666666,9.333333333333334,13.666666666666666,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,0.6666666666666666,0.5215,,,,,7.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1641718-1642268-1642271,1610612762,"John Collins, Collin Sexton, Keyonte George, Isaiah Collier, Kyle Filipowski","Collins, Sexton, George, Collier, Filipowski",1628381-1629012-1641718-1642268-1642271,UTA,69.0,1,1.0,-1.0,3.0,2.0,,5.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,4.0,5.0,,,,2.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,4.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,104.34782608695653,,9.333333333333334,20.5,9.333333333333334,20.5,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,0.6221,,0.5,0.5,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1641718-1642271-203903,1610612762,"John Collins, Collin Sexton, Keyonte George, Kyle Filipowski, Jordan Clarkson","Collins, Sexton, George, Filipowski, Clarkson",1628381-1629012-1641718-1642271-203903,UTA,489.0,2,8.0,4.0,16.0,16.0,3.0,32.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,10.0,1.0,17.0,13.0,1.0,1.0,2.0,6.0,4.0,2.0,6.0,1.0,3.0,4.0,1.0,2.0,9.0,2.0,1.0,3.0,,4.0,3.0,7.0,,4.0,2.0,2.0,1.0,,,1.0,1.0,2.0,2.0,,1.0,,,2.0,,1.0,2.0,1.0,2.0,,,15.0,0.6,0.75,0.7142857142857143,1.0,0.47058823529411764,0.3333333333333333,0.4722222222222222,0.3333333333333333,0.5882352941176471,0.14285714285714285,,1.0,,0.5,0.6,0.2857142857142857,0.375,0.3333333333333333,1.0,,0.5,,,0.5,1.0,,94.23312883435582,,13.625,16.9375,13.0,16.1875,0.23529411764705882,0.75,0.75,0.3333333333333333,0.17647058823529413,0.6666666666666666,1.0,1.0,0.23529411764705882,0.35294117647058826,0.3333333333333333,1.0,,0.8235294117647058,0.5219382352941176,0.6422,0.05555555555555555,0.125,0.11764705882352941,4.857142857142857,25.119999999999997,9.0,2.0,4.0,3.0,5.0,6.0,9.0,,0.36363636363636365,0.2727272727272727,0.5159636363636364,0.5625,3.0,2.0,2.0,3.0,2.0,4.0,2.0,14.0,3.0,2.0,1.0,1.0,1.0,,,,,14.0,0.5,0.2,0.3333333333333333,0.2,0.8,0.6363636363636364,0.6363636363636364,1.0,0.3333333333333333,0.3333333333333333,0.5,0.75,0.2727272727272727,0.6666666666666666,0.3333333333333333,0.8235294117647058,,,,1.0,,2.0,,,,,0.3333333333333333,,,,1.0,,,,3.0,,,,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1641729-1642271-201988,1610612762,"John Collins, Collin Sexton, Brice Sensabaugh, Kyle Filipowski, Patty Mills","Collins, Sexton, Sensabaugh, Filipowski, Mills",1628381-1629012-1641729-1642271-201988,UTA,153.0,1,3.0,,6.0,5.0,,11.0,,1.0,,,1.0,1.0,,,1.0,2.0,,3.0,5.0,5.0,,,,2.0,,,,,1.0,1.0,,1.0,2.0,,,2.0,1.0,3.0,,3.0,,,,,1.0,1.0,1.0,,2.0,1.0,3.0,,3.0,,1.0,4.0,,2.0,1.0,1.0,1.0,,,5.0,1.0,1.0,0.5,,0.5,,0.625,,,,,0.5,0.5,,0.6666666666666666,,0.6,,,,,,1.0,0.6666666666666666,,,103.52941176470588,,10.666666666666666,17.8,10.666666666666666,16.6,0.5,,,,0.5,1.0,1.0,1.0,,,,,,0.5,0.4711,,0.5,0.5,,8.85,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1641729-1642271-203903,1610612762,"John Collins, Collin Sexton, Brice Sensabaugh, Kyle Filipowski, Jordan Clarkson","Collins, Sexton, Sensabaugh, Filipowski, Clarkson",1628381-1629012-1641729-1642271-203903,UTA,146.0,1,2.0,2.0,5.0,4.0,1.0,9.0,,,,,2.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,8.0,6.0,1.0,1.0,2.0,4.0,,,1.0,,2.0,3.0,,2.0,7.0,1.0,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,2.0,,1.0,,,,,,6.0,1.0,1.0,0.6666666666666666,1.0,0.5833333333333334,1.0,0.5714285714285714,1.0,0.5,,,,1.0,,1.0,1.0,1.0,0.5,,,,,1.0,1.0,,,88.76712328767124,,15.0,17.75,14.0,17.75,,,,,0.5,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.16666666666666666,,,,0.5,0.43555000000000005,0.4305,0.14285714285714285,0.25,0.25,8.5,24.766666666666666,1.0,2.0,,1.0,,2.0,1.0,1.0,,0.5,0.411375,0.2,,,,1.0,1.0,,1.0,3.0,3.0,,1.0,,,,,,,3.0,1.0,0.3333333333333333,0.5,0.3333333333333333,,0.75,0.75,,,,,,0.5,,,0.375,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,1.0,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1642262-1642271-201988,1610612762,"John Collins, Collin Sexton, Cody Williams, Kyle Filipowski, Patty Mills","Collins, Sexton, Williams, Filipowski, Mills",1628381-1629012-1642262-1642271-201988,UTA,42.0,1,1.0,3.0,1.0,2.0,,3.0,,,,,,,,1.0,,,1.0,,3.0,,,,,,,,1.0,,,1.0,,,3.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.5,,1.5,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,102.85714285714286,,8.0,17.0,8.0,17.0,,,,,,,,,,1.0,,,,1.0,0.5715,,,,,,25.7,,,,,,,,,,,,,,1.0,,,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1642268-1642271-203903,1610612762,"John Collins, Collin Sexton, Isaiah Collier, Kyle Filipowski, Jordan Clarkson","Collins, Sexton, Collier, Filipowski, Clarkson",1628381-1629012-1642268-1642271-203903,UTA,327.0,4,5.0,1.0,10.0,11.0,1.0,21.0,,,,,1.0,1.0,3.0,3.0,2.0,2.0,6.0,2.0,12.0,11.0,,,,,4.0,,3.0,,,2.0,,,6.0,1.0,,,3.0,3.0,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,2.0,3.0,,2.0,,1.0,2.0,,1.0,1.0,,1.0,,,12.0,,,1.0,,0.625,,0.6666666666666666,,0.75,,,0.5,0.75,,,0.25,0.75,0.25,,,1.0,1.0,0.5,,,,92.47706422018348,,13.9,17.09090909090909,13.9,16.90909090909091,,,,,0.125,1.0,1.0,,0.375,0.375,,,,0.75,0.52771875,,0.1111111111111111,0.3333333333333333,,11.5,24.8,,,,,,,,,,,,,,2.0,,,2.0,,,,6.0,2.0,2.0,2.0,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,0.6666666666666666,,1.0,1.0,,,,,,0.125,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1610612762,2025,2024-25,True
1628381-1629012-1642271-201988-203903,1610612762,"John Collins, Collin Sexton, Kyle Filipowski, Patty Mills, Jordan Clarkson","Collins, Sexton, Filipowski, Mills, Clarkson",1628381-1629012-1642271-201988-203903,UTA,54.0,1,1.0,-1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,53.33333333333333,,19.0,35.0,19.0,24.0,,,,,1.0,1.0,1.0,,,,,,,,0.4271,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629234-1630548-1630695-1641718,1610612762,"John Collins, Drew Eubanks, Johnny Juzang, Micah Potter, Keyonte George","Collins, Eubanks, Juzang, Potter, George",1628381-1629234-1630548-1630695-1641718,UTA,40.0,1,1.0,-2.0,2.0,1.0,,3.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,108.0,,14.0,12.0,14.0,12.0,,,,,,,,,,1.0,,,,1.0,0.54555,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629234-1630548-1641718-1641729,1610612762,"John Collins, Drew Eubanks, Johnny Juzang, Keyonte George, Brice Sensabaugh","Collins, Eubanks, Juzang, George, Sensabaugh",1628381-1629234-1630548-1641718-1641729,UTA,310.0,2,5.0,,12.0,11.0,2.0,23.0,1.0,2.0,,1.0,,1.0,1.0,5.0,1.0,4.0,6.0,3.0,14.0,14.0,,1.0,1.0,,2.0,,5.0,,,3.0,,,9.0,,2.0,1.0,3.0,4.0,2.0,6.0,,1.0,1.0,,2.0,,,2.0,2.0,1.0,2.0,,3.0,,,5.0,,,1.0,1.0,1.0,1.0,,13.0,,,0.25,,0.55,,0.5384615384615384,0.125,0.6,,,1.0,1.0,0.6666666666666666,1.0,,1.0,0.3333333333333333,1.0,,,1.0,1.0,1.0,,,106.83870967741935,1.0,13.083333333333334,13.909090909090908,11.833333333333334,13.909090909090908,0.2,0.5,0.5,,0.1,,,,0.1,0.5,0.5,,,0.8,0.573235,0.706175,,,0.07142857142857142,7.625,26.083333333333332,6.0,,,,2.0,1.0,6.0,,,,0.4543333333333333,0.5,,3.0,1.0,1.0,3.0,,1.0,5.0,9.0,3.0,3.0,3.0,,,,,,5.0,1.0,0.5,1.0,0.5,,0.5,0.5,,0.6,0.6,1.0,,0.3333333333333333,1.0,0.6,0.35714285714285715,,1.0,,1.0,,1.0,,0.1,,,0.5,,,,,,1.0,2.0,,,,,,,2.0,1.0,,,,,3.0,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629234-1630548-1641718-1642268,1610612762,"John Collins, Drew Eubanks, Johnny Juzang, Keyonte George, Isaiah Collier","Collins, Eubanks, Juzang, George, Collier",1628381-1629234-1630548-1641718-1642268,UTA,860.0,3,14.0,-8.0,32.0,30.0,2.0,62.0,4.0,6.0,,1.0,3.0,10.0,3.0,6.0,7.0,17.0,9.0,12.0,35.0,43.0,,1.0,,12.0,2.0,,6.0,2.0,6.0,8.0,4.0,2.0,18.0,,3.0,2.0,6.0,9.0,3.0,12.0,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,5.0,10.0,,8.0,,1.0,15.0,1.0,6.0,3.0,,3.0,1.0,,35.0,0.8571428571428571,0.8571428571428571,0.4117647058823529,,0.4423076923076923,,0.5151515151515151,,0.34615384615384615,0.11764705882352941,,0.5,0.6,0.3,1.0,,0.6666666666666666,0.1875,1.0,0.14285714285714285,,,0.42857142857142855,1.0,,0.07142857142857142,103.81395348837209,0.3333333333333333,12.53125,15.3,12.03125,15.033333333333333,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.38461538461538464,0.3,0.375,0.6666666666666666,0.11538461538461539,0.23076923076923078,0.3333333333333333,,,0.5769230769230769,0.5212153846153846,0.5159666666666667,0.1875,0.2608695652173913,,6.611764705882353,25.155555555555555,15.0,6.0,2.0,,10.0,3.0,15.0,,0.15384615384615385,,0.4810461538461538,0.46875,1.0,3.0,1.0,3.0,3.0,2.0,1.0,12.0,6.0,3.0,2.0,2.0,1.0,,,,,12.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2692307692307692,0.375,1.0,0.5,0.5,0.6666666666666666,0.5,0.23076923076923078,0.3333333333333333,0.5,0.34285714285714286,,1.0,,1.0,,2.0,,0.038461538461538464,,,0.3333333333333333,,,,1.0,,,5.0,3.0,,,,1.0,,1.0,1.0,,,,,1.0,,3.0,2.0,,1.0,,0.2,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
1628381-1629234-1630548-1641718-201988,1610612762,"John Collins, Drew Eubanks, Johnny Juzang, Keyonte George, Patty Mills","Collins, Eubanks, Juzang, George, Mills",1628381-1629234-1630548-1641718-201988,UTA,208.0,1,3.0,1.0,7.0,8.0,1.0,15.0,3.0,3.0,,,,,1.0,3.0,3.0,3.0,4.0,2.0,14.0,13.0,,,3.0,2.0,4.0,,3.0,,1.0,3.0,1.0,,8.0,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,2.0,2.0,,1.0,,,2.0,,1.0,,,,,,11.0,0.3333333333333333,0.3333333333333333,1.0,,0.8571428571428571,1.5,0.875,1.5,0.5714285714285714,,,,,,0.5,0.5,0.5,0.5,,,,,,0.5,,0.5,103.84615384615384,,12.285714285714286,15.25,12.0,15.125,0.42857142857142855,1.0,1.0,0.3333333333333333,,,,,0.14285714285714285,0.42857142857142855,,,,1.0,0.6073142857142857,,0.125,0.25,0.21428571428571427,1.3666666666666665,25.825,7.0,8.0,3.0,1.0,3.0,4.0,7.0,1.0,0.42857142857142855,0.14285714285714285,0.6073142857142857,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,14.0,6.0,2.0,2.0,2.0,,,,,,14.0,1.0,0.5,0.5,0.5,1.0,0.8571428571428571,0.875,,0.6666666666666666,0.6666666666666666,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2025,2024-25,True
